Date,Ticker,Open,High,Low,Close,Volume,VWAP,Transactions
2024-07-12,GOOG,186.92,188.69,186.14,186.78,14449113.0,187.2296,209367
2024-07-15,GOOG,186.49,189.9,186.49,188.19,12186015.0,188.3348,167144
2024-07-16,GOOG,188.96,190.34,185.12,185.5,12760102.0,186.5357,185546
2024-07-17,GOOG,184.68,185.23,181.62,182.62,17376563.0,182.802,262688
2024-07-18,GOOG,183.54,184.05,178.21,179.22,17850197.0,179.8916,278038
2024-07-19,GOOG,180.37,181.97,178.86,179.39,14485899.0,179.9958,185773
2024-07-22,GOOG,182.35,184.3,181.9,183.35,16303896.0,183.3674,210321
2024-07-23,GOOG,183.84,185.22,183.33,183.6,23770502.0,184.1495,288306
2024-07-24,GOOG,175.39,177.95,173.57,174.37,31250683.0,175.2159,469377
2024-07-25,GOOG,174.25,175.2,169.05,169.16,28967880.0,171.5446,403324
2024-07-26,GOOG,168.77,169.84,165.865,168.68,25150116.0,168.0357,356460
2024-07-29,GOOG,170.5,172.16,169.72,171.13,13764831.0,171.0447,209123
2024-07-30,GOOG,171.83,172.95,170.12,171.86,13648518.0,171.6253,207783
2024-07-31,GOOG,174.92,175.91,171.72,173.15,15650154.0,173.2503,208393
2024-08-01,GOOG,171.98,175.68,170.51,172.45,17177833.0,172.6412,259802
2024-08-02,GOOG,168.19,170.21,166.39,168.4,18907773.0,167.8894,307734
2024-08-05,GOOG,157.37,165.94,156.6,160.64,34904215.0,161.8667,599904
2024-08-06,GOOG,160.945,162.35,158.13,160.54,36146541.0,160.6664,416153
2024-08-07,GOOG,163.24,164.79,160.24,160.75,19334246.0,162.0086,293495
2024-08-08,GOOG,162.344,165.5,162.03,163.84,15363612.0,164.1066,220953
2024-08-09,GOOG,161.645,165.52,160.93,165.39,13549230.0,163.1421,216231
2024-08-12,GOOG,165.995,166.7,163.55,163.95,12434969.0,164.5854,174875
2024-08-13,GOOG,165.185,166.54,164.77,165.93,12717628.0,165.6101,167219
2024-08-14,GOOG,164.21,164.96,159.53,162.03,22515895.0,161.4074,301626
2024-08-15,GOOG,162.21,163.52,161.49,163.17,18392452.0,162.7247,226900
2024-08-16,GOOG,163.41,166.95,163.08,164.74,16849737.0,165.107,216510
2024-08-19,GOOG,167.0,168.47,166.09,168.4,13100762.0,167.5187,175796
2024-08-20,GOOG,168.74,170.41,168.66,168.96,12622523.0,169.377,165900
2024-08-21,GOOG,166.99,168.64,166.57,167.63,15269550.0,167.5914,178078
2024-08-22,GOOG,169.04,169.42,165.03,165.49,19123778.0,166.2777,204744
2024-08-23,GOOG,166.55,167.95,165.66,167.43,14281621.0,167.1164,154796
2024-08-26,GOOG,168.155,169.38,166.32,167.93,11990305.0,167.8372,147708
2024-08-27,GOOG,167.61,168.245,166.16,166.38,13718162.0,167.0577,168173
2024-08-28,GOOG,166.78,167.39,163.28,164.5,15208736.0,164.5988,183451
2024-08-29,GOOG,166.06,167.63,161.982,163.4,17086830.0,164.5913,233988
2024-08-30,GOOG,164.22,165.28,163.41,165.11,18498777.0,164.6268,203645
2024-09-03,GOOG,163.315,163.38,157.855,158.61,26533110.0,159.7921,342672
2024-09-04,GOOG,158.075,160.4,157.44,157.81,17410652.0,158.5047,258440
2024-09-05,GOOG,157.78,161.015,157.52,158.6,14139501.0,158.9531,219794
2024-09-06,GOOG,158.69,159.22,151.935,152.13,24997342.0,153.4084,327382
2024-09-09,GOOG,153.63,154.64,148.2,149.54,28035996.0,150.4032,384440
2024-09-10,GOOG,151.45,152.3,149.5427,150.01,20395524.0,150.537,260307
2024-09-11,GOOG,151.09,152.48,148.7,152.15,18991486.0,151.151,259130
2024-09-12,GOOG,154.81,155.61,153.5,155.54,21015312.0,154.9571,282416
2024-09-13,GOOG,156.362,159.275,156.11,158.37,16733908.0,158.046,247483
2024-09-16,GOOG,158.33,159.24,157.61,158.99,14157614.0,158.7919,208649
2024-09-17,GOOG,160.09,161.59,159.41,160.28,12064790.0,160.2781,188006
2024-09-18,GOOG,160.85,161.63,159.66,160.81,16756450.0,160.7255,281304
2024-09-19,GOOG,164.82,164.99,162.5216,163.24,17548190.0,163.6957,222943
2024-09-20,GOOG,164.52,164.75,163.18,164.64,46362673.0,164.431,206277
2024-09-23,GOOG,165.34,166.61,162.95,163.07,15648446.0,164.0868,199394
